TID;Name;Taxonomy
997;European Police College (CEPOL);19
998;European Political Strategy Centre (EPSC);19
999;European Public Prosecutor's Office (EPPO);19
1000;European Railway Agency (ERA);19
1001;European Research Council Executive Agency (ERCEA);19
1002;European School of Administration;19
1003;European Schools;19
1004;European Securities and Markets Authority (ESMA);19
1005;European Security and Defence College (ESDC);19
1006;European Stability Mechanism;19
1007;European System of Central Banks;19
1008;European Systemic Risk Board;19
1009;European Trade Union College (ETUCO);19
1010;European Trade Union Institute (ETUI);19
1011;European Trade Union Technical Bureau for Health and Safety (TUTB);19
1012;European Training Foundation (ETF);19
1013;European Union;19
1014;European Union Agency for Fundamental Rights (FRA);19
1015;European Union Agency for Law Enforcement Training (CEPOL);19
1016;European Union Agency for Network and Information Security (ENISA);19
1017;European Union Agency for Railways;19
1018;European Union Institute for Security Studies (EUISS);19
1019;European Union Intellectual Property Office (EUIPO);19
1020;European Union Military Staff (EUMS);19
1021;European Union Satellite Centre (Satcen);19
1022;European Union Special Envoy (EUSE);19
1023;European Union Special Representative (EUSR);19
1024;European University Institute;19
1025;European Voluntary Humanitarian Aid Corps;19
1026;Europol;19
1027;Eurostat;19
1028;Eurostat (ESTAT);19
1029;Eurosystem;19
1030;Eurydice;19
1031;EU-Switzerland Joint Committee;19
1032;Executive Agency for Competitiveness and Innovation (EACI);19
1033;Executive Agency for Health and Consumers (EAHC);19
1034;Executive Agency for Small and Medium-sized Enterprises (EASME);19
1035;Executive Agency for the Public Health Programme (EAPH);19
1036;Executive Secretariat;19
1037;Food and Veterinary Office (FVO);19
1038;Foreign Affairs Council (FAC);19
1039;Foreign Policy Instruments Service;19
1040;Forward Studies Unit;19
1041;Forza Europa Group;19
1042;Frontex;19
1043;Frontex (Frontex);19
1044;Fuel Cells and Hydrogen 2 Joint Undertaking (FCH 2 JU);19
1045;Fuel Cells and Hydrogen Joint Undertaking (FCH JU);19
1046;Fusion for Energy Joint Undertaking;19
1047;General Affairs Council (GAC);19
1048;General Court;19
1049;General Secretariat of the Council;19
1050;Group for a Europe of Democracies and Diversities;19
1051;Group for the European United Left;19
1052;Group for the Technical Coordination and Defence of Independent Groups and Members;19
1053;Group of 4;19
1054;Group of 5;19
1055;Group of 6 EU;19
1056;Group of European Progressive Democrats;19
1057;Group of Independents for a Europe of Nations;19
1058;Group of Policy Advisers (GOPA);19
1059;Group of the Alliance of Liberals and Democrats for Europe;19
1060;Group of the European Democratic Alliance;19
1061;Group of the European Liberal, Democrat and Reform Party;19
1062;Group of the European People's Party (Christian Democrats);19
1063;Group of the European People's Party (Christian Democrats) and European Democrats;19
1064;Group of the European People's Party (Christian-Democratic Group);19
1065;Group of the European Radical Alliance;19
1066;Group of the European Right;19
1067;Group of the Greens/European Free Alliance;19
1068;Group of the Party of European Socialists;19
1069;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;19
1070;Group Union for Europe;19
1071;High Authority;19
1072;High Representative of the Union;19
1073;Humanitarian Aid Office;19
1074;Identity, Tradition and Sovereignty Group;19
1075;IMI 2 Joint Undertaking (IMI 2);19
1076;IMI Joint Undertaking (IMI);19
1077;Impact Assessment Board (IAB);19
1078;Independence/Democracy Group;19
1079;Informatics Directorate;19
1080;Information Office in Austria;19
1081;Information Office in Belgium;19
1082;Information Office in Bulgaria;19
1083;Information Office in Croatia;19
1084;Information Office in Cyprus;19
1085;Information Office in Denmark;19
1086;Information Office in Estonia;19
1087;Information Office in Finland;19
1088;Information Office in France;19
1089;Information Office in France - Marseille;19
1090;Information Office in France - Paris;19
1091;Information Office in France - Strasbourg;19
1092;Information Office in Germany;19
1093;Information Office in Germany - Berlin;19
1094;Information Office in Germany - Munich;19
1095;Information Office in Greece;19
1096;Information Office in Hungary;19
1097;Information Office in Ireland;19
1098;Information Office in Italy;19
1099;Information Office in Italy - Milan;19
1100;Information Office in Italy - Rome;19
1101;Information Office in Latvia;19
1102;Information Office in Lithuania;19
1103;Information Office in Luxembourg;19
1104;Information Office in Malta;19
1105;Information Office in Poland;19
1106;Information Office in Poland - Warsaw;19
1107;Information Office in Poland - Wroc?aw;19
1108;Information Office in Portugal;19
1109;Information Office in Romania;19
1110;Information Office in Slovakia;19
1111;Information Office in Slovenia;19
1112;Information Office in Spain;19
1113;Information Office in Spain - Barcelona;19
1114;Information Office in Spain - Madrid;19
1115;Information Office in Sweden;19
1116;Information Office in the Czech Republic;19
1117;Information Office in the Netherlands;19
1118;Information Office in the United Kingdom;19
1119;Information Office in the United Kingdom - Edinburgh;19
1120;Information Office in the United Kingdom - London;19
1121;Innovation and Networks Executive Agency (INEA);19
1122;Inspectorate-General;19
1123;Institute for Advanced Materials;19
1124;Institute for Energy;19
1125;Institute for Energy and Transport;19
1126;Institute for Environment and Sustainability;19
1127;Institute for Health and Consumer Protection;19
1128;Institute for Prospective Technological Studies;19
1129;Institute for Reference Materials and Measurements;19
1130;Institute for Systems, Informatics and Safety (ISIS);19
1131;Institute for the Protection and Security of the Citizen;19
1132;Institute for Transuranium Elements;19
1133;Intelligent Energy Executive Agency (IEEA);19
1134;Internal Audit Service;19
1135;Joint Committee;19
1136;Joint Council;19
1137;Joint Interpreting and Conference Service;19
1138;Joint Nuclear Research Centre, Ispra Establishment;19
1139;Joint Nuclear Research Centre, Karlsruhe Establishment;19
1140;Joint Research Centre;19
1141;Joint Research Centre - Geel;19
1142;Joint Research Centre - Ispra;19
1143;Joint Research Centre - Karlsruhe;19
1144;Joint Research Centre - Petten;19
1145;Joint Service for the Management of Community Aid to Non-Member Countries;19
1146;Justice and Home Affairs Council (JHA);19
1147;Left Unity;19
1148;Legal Service;19
1149;Liaison Office with US Congress;19
1150;Liberal and Democratic Group;19
1151;Liberal and Democratic Reformist Group;19
1152;Library and e-Resources Centre;19
1153;Luxembourg Terminology Office;19
1154;Market Department (Steel);19
1155;Medium-term Economic Policy Committee;19
1156;Migration Policy Centre (MPC);19
1157;Mines Safety and Health Commission;19
1158;Monetary Committee;19
1159;National Courts;19
1160;National Parliaments;19
1161;Non-attached;19
1162;Non-attached (NI);19
1163;Non-attached (NI) (NI);19
1164;Non-attached Members;19
1165;Non-euro area Member States: Denmark, Greece, Sweden, United Kingdom;19
1166;Non-euro area Member States: Denmark, Sweden, United Kingdom;19
1167;Office for Harmonization in the Internal Market (OHIM);19
1168;Office for Infrastructure and Logistics in Brussels;19
1169;Office for Infrastructure and Logistics in Luxembourg;19
1170;Office for the Administration and Payment of Individual Entitlements;19
1171;Office in Kosovo;19
1172;Party of European Socialists (PES);19
1173;Permanent Mission to the World Trade Organisation;19
1174;Permanent representations;19
1175;Personnel Selection Office (EPSO);19
1176;Political Affairs Committee;19
1177;Political and Security Committee (PSC);19
1178;Political groups of the Committee of the Regions;19
1179;Political Groups' Secretariats;19
1180;Press and Communication Service;19
1181;Press and Information Service;19
1182;Publications department;19
1183;Publications Office;19
1184;Publications Office (OP);19
1185;Rainbow Group in the European Parliament;19
1186;Reactor Centre Netherlands;19
1187;Regulatory Scrutiny Board (RSB);19
1188;Representation in Austria;19
1189;Representation in Belgium;19
1190;Representation in Bulgaria;19
1191;Representation in Croatia;19
1192;Representation in Cyprus;19
1193;Representation in Denmark;19
1194;Representation in Estonia;19
1195;Representation in Finland;19
1196;Representation in France;19
1197;Representation in France - Marseille;19
1198;Representation in France - Paris;19
1199;Representation in Germany;19
1200;Representation in Germany - Berlin;19
1201;Representation in Germany - Bonn;19
1202;Representation in Germany - Munich;19
1203;Representation in Greece;19
1204;Representation in Hungary;19
1205;Representation in Ireland;19
1206;Representation in Italy;19
1207;Representation in Italy - Milan;19
1208;Representation in Italy - Rome;19
1209;Representation in Latvia;19
1210;Representation in Lithuania;19
1211;Representation in Luxembourg;19
1212;Representation in Malta;19
1213;Representation in Poland;19
1214;Representation in Poland - Warsaw;19
1215;Representation in Poland - Wrocaw;19
1216;Representation in Portugal;19
1217;Representation in Romania;19
1218;Representation in Slovakia;19
1219;Representation in Slovenia;19
1220;Representation in Spain;19
1221;Representation in Spain - Barcelona;19
1222;Representation in Spain - Madrid;19
1223;Representation in Sweden;19
1224;Representation in the Czech Republic;19
1225;Representation in the Netherlands;19
1226;Representation in the United Kingdom;19
1227;Representation in the United Kingdom - London;19
1228;Representation in the United Kingdom - Northern Ireland;19
1229;Representation in the United Kingdom - Scotland;19
1230;Representation in the United Kingdom - Wales;19
1231;Representatives of the Governments of the Member States;19
1232;Research Executive Agency (REA);19
1233;Robert Schuman Centre for Advanced Studies (RSCAS);19
1234;Safety and Health Commission for the Mining and other Extractive Industries (SHCMOEI);19
1235;Secretariat-General;19
1236;Secretariat-General of the Committee of the Regions;19
1237;Secretariat-General of the European Economic and Social Committee;19
1238;Secretary-General;19
1239;Section for Agriculture, Rural Development and the Environment;19
1240;Section for Economic and Monetary Union and Economic and Social Cohesion;19
1241;Section for Employment, Social Affairs and Citizenship;19
1242;Section for External Relations;19
1243;Section for the Single Market, Production and Consumption;19
1244;Section for Transport, Energy, Infrastructure and the Information Society;19
1245;Security Office;19
1246;Service for Foreign Policy Instruments (FPI);19
1247;Service of Deputy Secretary General CSDP and crisis response;19
1248;Service of Deputy Secretary General for economic and global issues;19
1249;Service of Deputy Secretary General for political affairs;19
1250;Service of the Customs Union;19
1251;SESAR Joint Undertaking;19
1252;Shift2Rail Joint Undertaking (S2R);19
1253;Single Resolution Board (SRB);19
1254;Socialist Group;19
1255;Socialist Group in the European Parliament;19
1256;Special Committee on Organised Crime, Corruption and Money Laundering;19
1257;Special Committee on Tax Rulings and Other Measures Similar in Nature or Effect;19
1258;Special Committee on the Financial, Economic and Social Crisis;19
1259;Spokesman's Service of the Commission;19
1260;Staff Committee;19
1261;Statistical Office;19
1262;Subcommittee on Fisheries;19
1263;Subcommittee on Human Rights;19
1264;Subcommittee on Monetary Affairs;19
1265;Subcommittee on Security and Defence;19
1266;Subcommittee on Security and Disarmament;19
1267;Task Force for Human Resources, Education, Training and Youth of the European Commission;19
1268;Task Force for the Accession Negotiations;19
1269;Technical Coordination and Defence of Independent Groups and Members;19
1270;Technical Group of Independent Members - mixed group;19
1271;Technical Group of the European Right;19
1272;Temporary committee of inquiry into BSE (bovine spongiform encephalopathy);19
1273;Temporary committee of Inquiry into the Community Transit System;19
1274;Temporary Committee on Climate Change;19
1275;Temporary committee on employment;19
1276;Temporary committee on foot and mouth disease;19
1277;Temporary committee on human genetics and other new technologies in modern medicine;19
1278;Temporary committee on improving safety at sea;19
1279;Temporary committee on policy challenges and budgetary means of the enlarged Union 2007-2013;19
1280;Temporary committee on the Echelon interception system;19
1281;Temporary Committee on the Impact of German unification on the EC;19
1282;The Green Group in the European Parliament;19
1283;The Member States;19
1284;The six Member States: Belgium, Germany, France, Italy, Luxembourg, Netherlands;19
1285;Trans-European Transport Network Executive Agency (TEN-T EA);19
1286;Translation Centre (CdT);19
1287;Translation Service;19
1288;Transport, Telecommunications and Energy Council (TTE);19
1289;Union for Europe of the Nations - European Alliance (EA);19
1290;Union for Europe of the Nations - European Alliance (UEN-EA);19
1291;Union for Europe of the Nations Group;19
1292;Western European Union (WEU);19
1293;Western European Union Institute for Security Studies (WEUISS);19
1294;Western European Union Satellite Centre (SC);19